match_id,city,winner,total_runs,date
1076,Bengaluru,Royal Challengers Bengaluru,147,2024-05-04
1077,Dharamsala,Chennai Super Kings,167,2024-05-05
1078,Lucknow,Kolkata Knight Riders,235,2024-05-05
1079,Mumbai,Mumbai Indians,173,2024-05-06
1080,Delhi,Delhi Capitals,221,2024-05-07
1081,Hyderabad,Sunrisers Hyderabad,165,2024-05-08
1082,Dharamsala,Royal Challengers Bengaluru,241,2024-05-09
1083,Ahmedabad,Gujarat Titans,231,2024-05-10
1084,Kolkata,Kolkata Knight Riders,157,2024-05-11
1085,Chennai,Chennai Super Kings,141,2024-05-12
1086,Bengaluru,Royal Challengers Bengaluru,187,2024-05-12
1087,Delhi,Delhi Capitals,208,2024-05-14
1088,Guwahati,Punjab Kings,144,2024-05-15
1089,Mumbai,Lucknow Super Giants,214,2024-05-17
1090,Bengaluru,Royal Challengers Bengaluru,218,2024-05-18
1091,Hyderabad,Sunrisers Hyderabad,214,2024-05-19
1092,Ahmedabad,Kolkata Knight Riders,159,2024-05-21
1093,Ahmedabad,Rajasthan Royals,172,2024-05-22
1094,Chennai,Sunrisers Hyderabad,175,2024-05-24
1095,Chennai,Kolkata Knight Riders,113,2024-05-26
